"Top 3 values of operator_technology","time per 30 days","Latency"
Cable,"2011-12-22","1,078.128"
Cable,"2012-01-21","1,213.429"
Cable,"2012-02-20","1,147.298"
Cable,"2012-03-21","1,118.252"
Cable,"2012-04-20","1,094.866"
Cable,"2012-05-20","1,106.905"
Cable,"2012-06-19","1,102.498"
Cable,"2012-07-19","1,098.808"
Cable,"2012-08-18","1,078.937"
Cable,"2012-09-17","1,112.382"
Cable,"2012-10-17","1,115.254"
Cable,"2012-11-16","1,111.95"
Cable,"2012-12-16","1,121.367"
Cable,"2013-01-15","1,156.731"
Cable,"2013-02-14","1,139.921"
Cable,"2013-03-16","1,096.118"
Cable,"2013-04-15","996.702"
Cable,"2013-05-15","971.663"
Cable,"2013-06-14","978.566"
Cable,"2013-07-14","995.568"
Cable,"2013-08-13","1,000.946"
Cable,"2013-09-12","1,019.643"
Cable,"2013-10-12","964.383"
Cable,"2013-11-11","958.799"
Cable,"2013-12-11","963.042"
Cable,"2014-01-10","975.135"
Cable,"2014-02-09","996.527"
Cable,"2014-03-11","983.107"
Cable,"2014-04-10","996.884"
Cable,"2014-05-10","987.253"
Cable,"2014-06-09","965.851"
Cable,"2014-07-09","1,020.001"
Cable,"2014-08-08","1,089.373"
Cable,"2014-09-07","1,549.736"
Cable,"2014-10-07","1,578.363"
Cable,"2014-11-06","1,591.467"
Cable,"2014-12-06","1,537.071"
Cable,"2015-01-05","1,508.642"
Cable,"2015-02-04","1,549.559"
Cable,"2015-03-06","1,502.493"
Cable,"2015-04-05","1,436.274"
Cable,"2015-05-05","1,468.398"
Cable,"2015-06-04","1,464.958"
Cable,"2015-07-04","1,351.384"
Cable,"2015-08-03","1,310.537"
Cable,"2015-09-02","1,186.449"
Cable,"2015-10-02","1,195.075"
Cable,"2015-11-01","1,180.623"
Cable,"2015-12-01","1,166.867"
Cable,"2015-12-31","1,139.365"
Cable,"2016-01-30","1,084.233"
Cable,"2016-02-29","1,073.061"
Cable,"2016-03-30","1,028.813"
Cable,"2016-04-29","980.913"
Cable,"2016-05-29","981.218"
Cable,"2016-06-28","976.709"
Cable,"2016-07-28","1,280.18"
Cable,"2016-08-27","1,595.81"
Cable,"2016-09-26","1,551.667"
Cable,"2016-10-26","1,599.623"
Cable,"2016-11-25","1,610.423"
Cable,"2016-12-25","1,608.628"
Cable,"2017-01-24","1,646.162"
Cable,"2017-02-23","1,541.675"
Cable,"2017-03-25","1,566.509"
Cable,"2017-04-24","1,564.83"
Cable,"2017-05-24","1,354.938"
Cable,"2017-06-23","1,410.087"
Cable,"2017-07-23","1,280.463"
Cable,"2017-08-22","1,290.586"
Cable,"2017-09-21","1,234.897"
Cable,"2017-10-21","1,177.66"
Cable,"2017-11-20","1,219.991"
Cable,"2017-12-20","1,143.825"
Cable,"2018-01-19","1,055.742"
Cable,"2018-02-18","1,094.18"
Cable,"2018-03-20","1,058.952"
Cable,"2018-04-19","1,018.238"
Cable,"2018-05-19","1,008.752"
Cable,"2018-06-18","1,135.667"
Cable,"2018-07-18","1,526.032"
Cable,"2018-08-17","1,423.597"
Cable,"2018-09-16","1,336.311"
Cable,"2018-10-16","1,267.848"
Cable,"2018-11-15","1,235.119"
Cable,"2018-12-15","1,249.993"
Cable,"2019-01-14","1,309.954"
Cable,"2019-02-13","1,327.657"
Cable,"2019-03-15","1,315.367"
Cable,"2019-04-14","1,376.698"
Cable,"2019-05-14","1,185.432"
Cable,"2019-06-13","1,087.332"
Cable,"2019-07-13","1,077.19"
Cable,"2019-08-12","1,014.722"
Cable,"2019-09-11","1,035.273"
