"dtime per 30 days","Idle Latency"
"2010-12-27",null
"2011-01-26","39.425"
"2011-02-25","38.329"
"2011-03-27","37.763"
"2011-04-26","37.797"
"2011-05-26","37.467"
"2011-06-25","37.288"
"2011-07-25","37.878"
"2011-08-24","37.68"
"2011-09-23","37.517"
"2011-10-23","38.237"
"2011-11-22","39.809"
"2011-12-22","43.404"
"2012-01-21","44.904"
"2012-02-20","46.351"
"2012-03-21","38.58"
"2012-04-20","36.362"
"2012-05-20","36.57"
"2012-06-19","37.078"
"2012-07-19","35.88"
"2012-08-18","35.004"
"2012-09-17","35.539"
"2012-10-17","35.26"
"2012-11-16","36.309"
"2012-12-16","38.867"
"2013-01-15","39.937"
"2013-02-14","40.683"
"2013-03-16","41.688"
"2013-04-15","41.461"
"2013-05-15","41.988"
"2013-06-14","41.381"
"2013-07-14","42.006"
"2013-08-13","40.861"
"2013-09-12","39.412"
"2013-10-12","39.048"
"2013-11-11","40.04"
"2013-12-11","41.765"
"2014-01-10","42.038"
"2014-02-09","40.539"
"2014-03-11","38.757"
"2014-04-10","37.683"
"2014-05-10","37.012"
"2014-06-09","36.295"
"2014-07-09","35.255"
"2014-08-08","33.149"
"2014-09-07","33.452"
"2014-10-07","33.598"
"2014-11-06","33.618"
"2014-12-06","33.719"
"2015-01-05","34.148"
"2015-02-04","34.422"
"2015-03-06","34.244"
"2015-04-05","34.172"
"2015-05-05","34.104"
"2015-06-04","33.824"
"2015-07-04","32.808"
"2015-08-03","32.763"
"2015-09-02","33.061"
"2015-10-02","33.275"
"2015-11-01","33.365"
"2015-12-01","33.643"
"2015-12-31","34.012"
"2016-01-30","33.732"
"2016-02-29","33.19"
"2016-03-30","33.201"
"2016-04-29","32.901"
"2016-05-29","33.16"
"2016-06-28","32.805"
"2016-07-28","33.497"
"2016-08-27","32.979"
"2016-09-26","33.167"
"2016-10-26","34.134"
"2016-11-25","35.462"
"2016-12-25","34.49"
"2017-01-24","34.231"
"2017-02-23","34.313"
"2017-03-25","34.86"
"2017-04-24","34.296"
"2017-05-24","33.995"
"2017-06-23","34.493"
"2017-07-23","34.088"
"2017-08-22","33.313"
"2017-09-21","32.841"
"2017-10-21","33.111"
"2017-11-20","33.228"
"2017-12-20","34.638"
"2018-01-19","33.678"
"2018-02-18","33.282"
"2018-03-20","31.432"
"2018-04-19","31.354"
"2018-05-19","31.062"
"2018-06-18","30.729"
"2018-07-18","29.381"
"2018-08-17","29.308"
"2018-09-16","31.747"
"2018-10-16","31.702"
"2018-11-15","32.03"
"2018-12-15","35.127"
"2019-01-14","36.328"
"2019-02-13","36.646"
"2019-03-15","33.338"
"2019-04-14","32.524"
"2019-05-14","31.061"
"2019-06-13","28.904"
"2019-07-13","27.184"
"2019-08-12","27.12"
"2019-09-11","27.236"
"2019-10-11","27.026"
"2019-11-10","30.344"
"2019-12-10","32.853"
"2020-01-09","32.15"
"2020-02-08","32.757"
"2020-03-09","34.234"
"2020-04-08","34.446"
"2020-05-08","34.009"
"2020-06-07","33.525"
"2020-07-07","32.996"
"2020-08-06","27.024"
"2020-09-05",null
"2020-10-05","28.417"
"2020-11-04","28.881"
"2020-12-04","28.96"
"2021-01-03","27.373"
"2021-02-02","27.192"
"2021-03-04","26.519"
"2021-04-03","26.38"
"2021-05-03","25.645"
"2021-06-02","25.979"
"2021-07-02","25.348"
"2021-08-01","24.966"
"2021-08-31","24.249"
"2021-09-30","23.876"
"2021-10-30","24.046"
"2021-11-29","23.816"
"2021-12-29","24.25"
"2022-01-28","24.159"
"2022-02-27","23.995"
"2022-03-29","23.673"
"2022-04-28","23.731"
"2022-05-28","23.933"
"2022-06-27","23.521"
"2022-07-27","23.466"
"2022-08-26","23.498"
"2022-09-25",null
"2022-10-25","24.214"
"2022-11-24","24.024"
"2022-12-24","24.014"
"2023-01-23","23.743"
"2023-02-22","23.572"
"2023-03-24","23.331"
"2023-04-23","23.083"
"2023-05-23","24.768"
"2023-06-22","24.157"
"2023-07-22","23.634"
