"dtime per 30 days","Upstream LUL"
"2011-12-22","2,222.927"
"2012-01-21","2,209.962"
"2012-02-20","2,205.582"
"2012-03-21","2,173.747"
"2012-04-20","2,164.544"
"2012-05-20","2,162.88"
"2012-06-19","2,174.626"
"2012-07-19","2,177.605"
"2012-08-18","2,197.252"
"2012-09-17","2,192.418"
"2012-10-17","2,192.061"
"2012-11-16","2,197.898"
"2012-12-16","2,206.436"
"2013-01-15","2,119.684"
"2013-02-14","2,146.234"
"2013-03-16","2,080.33"
"2013-04-15","2,055.858"
"2013-05-15","2,053.769"
"2013-06-14","2,078.161"
"2013-07-14","2,037.592"
"2013-08-13","2,048.563"
"2013-09-12","2,064.25"
"2013-10-12","2,084.681"
"2013-11-11","2,105.884"
"2013-12-11","2,082.327"
"2014-01-10","2,088.112"
"2014-02-09","2,123.038"
"2014-03-11","2,161.261"
"2014-04-10","2,172.439"
"2014-05-10","2,134.317"
"2014-06-09","2,145.049"
"2014-07-09","2,142.122"
"2014-08-08","2,122.919"
"2014-09-07","2,236.353"
"2014-10-07","2,250.261"
"2014-11-06","2,215.757"
"2014-12-06","2,228.8"
"2015-01-05","2,298.45"
"2015-02-04","2,299.472"
"2015-03-06","2,334.347"
"2015-04-05","2,326.676"
"2015-05-05","2,334.215"
"2015-06-04","2,307.974"
"2015-07-04","2,249.712"
"2015-08-03","2,260.07"
"2015-09-02","2,233.421"
"2015-10-02","2,199.585"
"2015-11-01","2,192.701"
"2015-12-01","2,193.117"
"2015-12-31","2,091.652"
"2016-01-30","2,067.545"
"2016-02-29","2,067.24"
"2016-03-30","2,060.368"
"2016-04-29","2,113.163"
"2016-05-29","2,108.227"
"2016-06-28",null
"2016-07-28","2,097.742"
"2016-08-27","1,953.184"
"2016-09-26","1,987.581"
"2016-10-26","1,977.08"
"2016-11-25","2,006.925"
"2016-12-25","1,901.319"
"2017-01-24","1,942.156"
"2017-02-23","1,924.623"
"2017-03-25","1,856.861"
"2017-04-24","1,787.452"
"2017-05-24","1,723.618"
"2017-06-23","1,755.394"
"2017-07-23","1,849.382"
"2017-08-22","1,775.532"
"2017-09-21","1,777.498"
"2017-10-21","1,768.787"
"2017-11-20","1,750.588"
"2017-12-20","1,732.971"
"2018-01-19","1,640.067"
"2018-02-18","1,663.323"
"2018-03-20","1,623.986"
"2018-04-19","1,657.959"
"2018-05-19","1,628.151"
"2018-06-18","1,592.905"
"2018-07-18","1,626.185"
"2018-08-17","1,570.81"
"2018-09-16","1,555.556"
"2018-10-16","1,527.707"
"2018-11-15","1,508.039"
"2018-12-15","1,506.303"
"2019-01-14","1,515.579"
"2019-02-13","1,492.47"
"2019-03-15","1,476.975"
"2019-04-14","1,463.221"
"2019-05-14","1,425.2"
"2019-06-13","1,421.831"
"2019-07-13","1,459.938"
"2019-08-12","1,411.212"
"2019-09-11","1,416.594"
"2019-10-11","1,423.128"
"2019-11-10","1,352.995"
"2019-12-10","1,469.994"
"2020-01-09","1,550.014"
"2020-02-08","1,569.588"
"2020-03-09","1,562.882"
"2020-04-08","1,568.944"
"2020-05-08","1,560.284"
"2020-06-07","1,549.118"
"2020-07-07","1,512.533"
"2020-08-06","1,565.505"
"2020-09-05",null
"2020-10-05","1,614.047"
"2020-11-04","1,623.197"
"2020-12-04","1,627.813"
"2021-01-03","1,594.559"
"2021-02-02","1,582.888"
"2021-03-04","1,567.862"
"2021-04-03","1,594.541"
"2021-05-03","1,480.53"
"2021-06-02","1,412.638"
"2021-07-02","1,403.431"
"2021-08-01","1,408.447"
"2021-08-31","1,408.065"
"2021-09-30","1,395.578"
"2021-10-30","1,346.195"
"2021-11-29","1,335.848"
"2021-12-29","1,314.348"
"2022-01-28","1,304.571"
"2022-02-27","1,258.445"
"2022-03-29","1,251.649"
"2022-04-28","1,220.504"
"2022-05-28","1,209.261"
"2022-06-27","1,183.192"
"2022-07-27","1,184.387"
"2022-08-26","1,171.702"
"2022-09-25",null
"2022-10-25","1,141.052"
"2022-11-24","1,162.144"
"2022-12-24","1,123.227"
"2023-01-23","1,108.859"
"2023-02-22","1,026.455"
"2023-03-24","934.819"
"2023-04-23","975.628"
"2023-05-23","967.497"
"2023-06-22","975.938"
"2023-07-22","909.304"
