"Top 3 values of operator_technology","dtime per 30 days",Percentage
Cable,"2010-12-27",null
Cable,"2011-01-26","5.82%"
Cable,"2011-02-25","10.37%"
Cable,"2011-03-27","11.34%"
Cable,"2011-04-26","9.32%"
Cable,"2011-05-26","3.31%"
Cable,"2011-06-25","2.49%"
Cable,"2011-07-25","4.54%"
Cable,"2011-08-24","6.86%"
Cable,"2011-09-23","3.06%"
Cable,"2011-10-23","3.41%"
Cable,"2011-11-22","3.74%"
Cable,"2011-12-22","1.66%"
Cable,"2012-01-21","0.81%"
Cable,"2012-02-20","0.80%"
Cable,"2012-03-21","1.39%"
Cable,"2012-04-20","1.23%"
Cable,"2012-05-20","1.32%"
Cable,"2012-06-19","1.40%"
Cable,"2012-07-19","1.72%"
Cable,"2012-08-18","1.87%"
Cable,"2012-09-17","1.97%"
Cable,"2012-10-17","2.31%"
Cable,"2012-11-16","2.24%"
Cable,"2012-12-16","2.16%"
Cable,"2013-01-15","2.87%"
Cable,"2013-02-14","3.15%"
Cable,"2013-03-16","4.30%"
Cable,"2013-04-15","4.77%"
Cable,"2013-05-15","5.76%"
Cable,"2013-06-14","5.96%"
Cable,"2013-07-14","8.37%"
Cable,"2013-08-13","9.30%"
Cable,"2013-09-12","9.60%"
Cable,"2013-10-12","10.29%"
Cable,"2013-11-11","10.06%"
Cable,"2013-12-11","10.08%"
Cable,"2014-01-10","10.13%"
Cable,"2014-02-09","9.41%"
Cable,"2014-03-11","9.07%"
Cable,"2014-04-10","9.05%"
Cable,"2014-05-10","9.10%"
Cable,"2014-06-09","7.39%"
Cable,"2014-07-09","7.62%"
Cable,"2014-08-08","9.59%"
Cable,"2014-09-07","10.25%"
Cable,"2014-10-07","10.59%"
Cable,"2014-11-06","10.66%"
Cable,"2014-12-06","10.83%"
Cable,"2015-01-05","10.97%"
Cable,"2015-02-04","10.96%"
Cable,"2015-03-06","10.77%"
Cable,"2015-04-05","11.23%"
Cable,"2015-05-05","11.72%"
Cable,"2015-06-04","11.83%"
Cable,"2015-07-04","11.83%"
Cable,"2015-08-03","12.02%"
Cable,"2015-09-02","13.07%"
Cable,"2015-10-02","14.47%"
Cable,"2015-11-01","14.15%"
Cable,"2015-12-01","14.09%"
Cable,"2015-12-31","13.36%"
Cable,"2016-01-30","13.37%"
Cable,"2016-02-29","13.38%"
Cable,"2016-03-30","12.88%"
Cable,"2016-04-29","13.57%"
Cable,"2016-05-29","14.80%"
Cable,"2016-06-28",null
Cable,"2016-07-28","15.58%"
