"Top 3 values of operator_technology","dtime per 30 days","Median Latency (ms)"
Cable,"2010-12-27",null
Cable,"2011-01-26","40.324"
Cable,"2011-02-25","39.047"
Cable,"2011-03-27","38.45"
Cable,"2011-04-26","37.869"
Cable,"2011-05-26","37.961"
Cable,"2011-06-25","37.801"
Cable,"2011-07-25","38.56"
Cable,"2011-08-24","38.676"
Cable,"2011-09-23","38.292"
Cable,"2011-10-23","38.623"
Cable,"2011-11-22","39.527"
Cable,"2011-12-22","43.043"
Cable,"2012-01-21","43.945"
Cable,"2012-02-20","45.196"
Cable,"2012-03-21","38.627"
Cable,"2012-04-20","36.291"
Cable,"2012-05-20","36.643"
Cable,"2012-06-19","37.811"
Cable,"2012-07-19","35.801"
Cable,"2012-08-18","34.928"
Cable,"2012-09-17","34.955"
Cable,"2012-10-17","34.386"
Cable,"2012-11-16","35.803"
Cable,"2012-12-16","38.062"
Cable,"2013-01-15","39.23"
Cable,"2013-02-14","40.604"
Cable,"2013-03-16","42.454"
Cable,"2013-04-15","41.982"
Cable,"2013-05-15","41.936"
Cable,"2013-06-14","41.281"
Cable,"2013-07-14","42.405"
Cable,"2013-08-13","41.457"
Cable,"2013-09-12","39.344"
Cable,"2013-10-12","38.92"
Cable,"2013-11-11","39.729"
Cable,"2013-12-11","41.07"
Cable,"2014-01-10","41.075"
Cable,"2014-02-09","39.936"
Cable,"2014-03-11","38.485"
Cable,"2014-04-10","37.24"
Cable,"2014-05-10","36.622"
Cable,"2014-06-09","35.979"
Cable,"2014-07-09","34.699"
Cable,"2014-08-08","32.416"
Cable,"2014-09-07","32.728"
Cable,"2014-10-07","32.812"
Cable,"2014-11-06","32.903"
Cable,"2014-12-06","33.249"
Cable,"2015-01-05","33.648"
Cable,"2015-02-04","33.742"
Cable,"2015-03-06","34.106"
Cable,"2015-04-05","33.783"
Cable,"2015-05-05","33.715"
Cable,"2015-06-04","33.958"
Cable,"2015-07-04","33.003"
Cable,"2015-08-03","33.04"
Cable,"2015-09-02","33.125"
Cable,"2015-10-02","33.315"
Cable,"2015-11-01","33.754"
Cable,"2015-12-01","33.816"
Cable,"2015-12-31","34.203"
Cable,"2016-01-30","33.99"
Cable,"2016-02-29","33.708"
Cable,"2016-03-30","33.512"
Cable,"2016-04-29","33.506"
Cable,"2016-05-29","33.368"
Cable,"2016-06-28","33.163"
Cable,"2016-07-28","33.335"
Cable,"2016-08-27","33.457"
Cable,"2016-09-26","34.079"
Cable,"2016-10-26","35.119"
Cable,"2016-11-25","36.311"
Cable,"2016-12-25","35.964"
Cable,"2017-01-24","35.911"
Cable,"2017-02-23","35.964"
Cable,"2017-03-25","36.655"
Cable,"2017-04-24","36.115"
Cable,"2017-05-24","35.665"
Cable,"2017-06-23","35.961"
Cable,"2017-07-23","35.272"
Cable,"2017-08-22","34.155"
Cable,"2017-09-21","33.465"
Cable,"2017-10-21","33.452"
Cable,"2017-11-20","34.07"
Cable,"2017-12-20","35.438"
Cable,"2018-01-19","34.486"
Cable,"2018-02-18","34.969"
Cable,"2018-03-20","32.311"
Cable,"2018-04-19","32.349"
Cable,"2018-05-19","31.802"
Cable,"2018-06-18","31.315"
Cable,"2018-07-18","29.921"
Cable,"2018-08-17","29.871"
Cable,"2018-09-16","31.75"
Cable,"2018-10-16","31.519"
Cable,"2018-11-15","31.192"
Cable,"2018-12-15","34.273"
Cable,"2019-01-14","35.39"
Cable,"2019-02-13","35.702"
Cable,"2019-03-15","32.941"
Cable,"2019-04-14","32.574"
Cable,"2019-05-14","31.402"
Cable,"2019-06-13","29.014"
Cable,"2019-07-13","27.968"
Cable,"2019-08-12","27.803"
Cable,"2019-09-11","27.714"
