"Top 3 values of operator_technology","dtime per 30 days","Latency"
Cable,"2011-12-22","2,581.349"
Cable,"2012-01-21","2,665.771"
Cable,"2012-02-20","2,598.85"
Cable,"2012-03-21","2,484.759"
Cable,"2012-04-20","2,534.358"
Cable,"2012-05-20","2,680.301"
Cable,"2012-06-19","2,749.233"
Cable,"2012-07-19","2,782.803"
Cable,"2012-08-18","2,801.347"
Cable,"2012-09-17","2,830.421"
Cable,"2012-10-17","2,842.249"
Cable,"2012-11-16","2,871.998"
Cable,"2012-12-16","2,887.724"
Cable,"2013-01-15","2,763.045"
Cable,"2013-02-14","2,771.327"
Cable,"2013-03-16","2,754.915"
Cable,"2013-04-15","2,745.328"
Cable,"2013-05-15","2,745.29"
Cable,"2013-06-14","2,749.145"
Cable,"2013-07-14","2,736.485"
Cable,"2013-08-13","2,662.003"
Cable,"2013-09-12","2,634.363"
Cable,"2013-10-12","2,652.39"
Cable,"2013-11-11","2,631.918"
Cable,"2013-12-11","2,621.929"
Cable,"2014-01-10","2,621.351"
Cable,"2014-02-09","2,668.276"
Cable,"2014-03-11","2,631.415"
Cable,"2014-04-10","2,632.149"
Cable,"2014-05-10","2,603.747"
Cable,"2014-06-09","2,654.453"
Cable,"2014-07-09","2,667.519"
Cable,"2014-08-08","2,711.206"
Cable,"2014-09-07","2,818.814"
Cable,"2014-10-07","2,808.086"
Cable,"2014-11-06","2,802.357"
Cable,"2014-12-06","2,800.993"
Cable,"2015-01-05","2,793.468"
Cable,"2015-02-04","2,807.802"
Cable,"2015-03-06","2,802.858"
Cable,"2015-04-05","2,801.843"
Cable,"2015-05-05","2,806.6"
Cable,"2015-06-04","2,785.751"
Cable,"2015-07-04","2,762.573"
Cable,"2015-08-03","2,744.09"
Cable,"2015-09-02","2,747.579"
Cable,"2015-10-02","2,755.318"
Cable,"2015-11-01","2,753.589"
Cable,"2015-12-01","2,740.532"
Cable,"2015-12-31","2,708.464"
Cable,"2016-01-30","2,701.385"
Cable,"2016-02-29","2,664.919"
Cable,"2016-03-30","2,641.534"
Cable,"2016-04-29","2,643.431"
Cable,"2016-05-29","2,648.413"
Cable,"2016-07-28","2,578.648"
Cable,"2016-08-27","2,556.266"
Cable,"2016-09-26","2,575.209"
Cable,"2016-10-26","2,574.2"
Cable,"2016-11-25","2,572.055"
Cable,"2016-12-25","2,564.992"
Cable,"2017-01-24","2,588.374"
Cable,"2017-02-23","2,574.73"
Cable,"2017-03-25","2,542.435"
Cable,"2017-04-24","2,490.077"
Cable,"2017-05-24","2,388.982"
Cable,"2017-06-23","2,390.564"
Cable,"2017-07-23","2,384.933"
Cable,"2017-08-22","2,323.69"
Cable,"2017-09-21","2,361.346"
Cable,"2017-10-21","2,420.964"
Cable,"2017-11-20","2,417.975"
Cable,"2017-12-20","2,441.631"
Cable,"2018-01-19","2,402.845"
Cable,"2018-02-18","2,412.939"
Cable,"2018-03-20","2,328.964"
Cable,"2018-04-19","2,315.949"
Cable,"2018-05-19","2,318.354"
Cable,"2018-06-18","2,327.887"
Cable,"2018-07-18","2,489.634"
Cable,"2018-08-17","2,494.78"
Cable,"2018-09-16","2,435.288"
Cable,"2018-10-16","2,273.258"
Cable,"2018-11-15","2,147.83"
Cable,"2018-12-15","2,055.227"
Cable,"2019-01-14","2,111.822"
Cable,"2019-02-13","2,185.561"
Cable,"2019-03-15","2,233.679"
Cable,"2019-04-14","2,160.438"
Cable,"2019-05-14","2,117.249"
Cable,"2019-06-13","2,272.488"
Cable,"2019-07-13","2,328.818"
Cable,"2019-08-12","2,304.709"
Cable,"2019-09-11","2,317.59"
Cable,"2019-10-11","2,322.516"
Cable,"2019-11-10","2,311.207"
Cable,"2019-12-10","2,333.266"
Cable,"2020-01-09","2,323.641"
Cable,"2020-02-08","2,321.254"
Cable,"2020-03-09","2,308.19"
Cable,"2020-04-08","2,294.729"
Cable,"2020-05-08","2,292.076"
Cable,"2020-06-07","2,286.43"
Cable,"2020-07-07","2,212.426"
Cable,"2020-08-06","2,295.134"
Cable,"2020-10-05","2,195.175"
Cable,"2020-11-04","2,158.35"
Cable,"2020-12-04","2,199.606"
Cable,"2021-01-03","2,170.961"
Cable,"2021-02-02","2,183.4"
Cable,"2021-03-04","2,141.502"
Cable,"2021-04-03","2,166.461"
Cable,"2021-05-03","2,170.168"
Cable,"2021-06-02","2,205.028"
Cable,"2021-07-02","2,225.924"
Cable,"2021-08-01","2,165.883"
Cable,"2021-08-31","2,128.875"
Cable,"2021-09-30","2,154.995"
Cable,"2021-10-30","2,143.983"
Cable,"2021-11-29","2,100.922"
Cable,"2021-12-29","2,025.282"
Cable,"2022-01-28","1,951.999"
Cable,"2022-02-27","1,855.715"
Cable,"2022-03-29","1,921.167"
Cable,"2022-04-28","1,908.306"
Cable,"2022-05-28","1,885.912"
Cable,"2022-06-27","1,862.262"
Cable,"2022-07-27","1,906.61"
Cable,"2022-08-26","1,840.93"
Cable,"2022-10-25","1,703.21"
Cable,"2022-11-24","1,813.527"
Cable,"2022-12-24","1,686.788"
Cable,"2023-01-23","1,690.073"
Cable,"2023-02-22","1,574.362"
Cable,"2023-03-24","1,593.189"
DSL,"2011-12-22","2,939.408"
DSL,"2012-01-21","2,944.283"
DSL,"2012-02-20","2,943.556"
DSL,"2012-03-21","2,949.877"
DSL,"2012-04-20","2,955.74"
DSL,"2012-05-20","2,953.237"
DSL,"2012-06-19","2,948.083"
DSL,"2012-07-19","2,948.8"
DSL,"2012-08-18","2,950.489"
DSL,"2012-09-17","2,948.92"
