"Top 3 values of operator_technology","dtime per 30 days","Median Latency (ms)"
Cable,"2010-12-27",null
Cable,"2011-01-26","23.955"
Cable,"2011-02-25","23.428"
Cable,"2011-03-27","23.037"
Cable,"2011-04-26","22.713"
Cable,"2011-05-26","22.709"
Cable,"2011-06-25","22.606"
Cable,"2011-07-25","23.572"
Cable,"2011-08-24","24.406"
Cable,"2011-09-23","23.69"
Cable,"2011-10-23","23.556"
Cable,"2011-11-22","23.86"
Cable,"2011-12-22","25.039"
Cable,"2012-01-21","24.798"
Cable,"2012-02-20","26.007"
Cable,"2012-03-21","23.405"
Cable,"2012-04-20","22.197"
Cable,"2012-05-20","22.394"
Cable,"2012-06-19","23.439"
Cable,"2012-07-19","22.572"
Cable,"2012-08-18","22.077"
Cable,"2012-09-17","22.192"
Cable,"2012-10-17","22.315"
Cable,"2012-11-16","22.894"
Cable,"2012-12-16","25.1"
Cable,"2013-01-15","26.173"
Cable,"2013-02-14","26.623"
Cable,"2013-03-16","28.74"
Cable,"2013-04-15","28.38"
Cable,"2013-05-15","28.455"
Cable,"2013-06-14","28.203"
Cable,"2013-07-14","28.837"
Cable,"2013-08-13","27.876"
Cable,"2013-09-12","26.507"
Cable,"2013-10-12","26.554"
Cable,"2013-11-11","27.178"
Cable,"2013-12-11","28.153"
Cable,"2014-01-10","27.955"
Cable,"2014-02-09","27.19"
Cable,"2014-03-11","25.875"
Cable,"2014-04-10","24.698"
Cable,"2014-05-10","24.364"
Cable,"2014-06-09","23.719"
Cable,"2014-07-09","22.948"
Cable,"2014-08-08","21.308"
Cable,"2014-09-07","21.359"
Cable,"2014-10-07","21.459"
Cable,"2014-11-06","21.599"
Cable,"2014-12-06","21.652"
Cable,"2015-01-05","22.031"
Cable,"2015-02-04","22.215"
Cable,"2015-03-06","22.297"
Cable,"2015-04-05","21.752"
Cable,"2015-05-05","21.694"
Cable,"2015-06-04","21.86"
Cable,"2015-07-04","21.116"
Cable,"2015-08-03","21.146"
Cable,"2015-09-02","21.242"
Cable,"2015-10-02","21.306"
Cable,"2015-11-01","21.439"
Cable,"2015-12-01","21.696"
Cable,"2015-12-31","21.797"
Cable,"2016-01-30","21.678"
Cable,"2016-02-29","21.552"
Cable,"2016-03-30","21.598"
Cable,"2016-04-29","21.571"
Cable,"2016-05-29","21.547"
Cable,"2016-06-28","21.129"
Cable,"2016-07-28","21.433"
Cable,"2016-08-27","21.634"
Cable,"2016-09-26","22.031"
Cable,"2016-10-26","22.833"
Cable,"2016-11-25","23.757"
Cable,"2016-12-25","23.409"
Cable,"2017-01-24","23.381"
Cable,"2017-02-23","23.316"
Cable,"2017-03-25","23.807"
Cable,"2017-04-24","23.871"
Cable,"2017-05-24","23.693"
Cable,"2017-06-23","24.198"
Cable,"2017-07-23","23.659"
Cable,"2017-08-22","22.958"
Cable,"2017-09-21","21.88"
Cable,"2017-10-21","21.882"
Cable,"2017-11-20","22.248"
Cable,"2017-12-20","23.026"
Cable,"2018-01-19","23.401"
Cable,"2018-02-18","23.483"
Cable,"2018-03-20","21.497"
Cable,"2018-04-19","21.75"
Cable,"2018-05-19","21.244"
Cable,"2018-06-18","20.692"
Cable,"2018-07-18","19.222"
Cable,"2018-08-17","18.729"
Cable,"2018-09-16","18.657"
Cable,"2018-10-16","18.68"
Cable,"2018-11-15","18.958"
Cable,"2018-12-15","19.438"
Cable,"2019-01-14","19.179"
Cable,"2019-02-13","19.603"
Cable,"2019-03-15","18.768"
Cable,"2019-04-14","18.671"
Cable,"2019-05-14","18.68"
Cable,"2019-06-13","18.48"
Cable,"2019-07-13","18.116"
Cable,"2019-08-12","18.483"
Cable,"2019-09-11","18.387"
Cable,"2019-10-11","18.409"
Cable,"2019-11-10","19.721"
Cable,"2019-12-10","21.063"
Cable,"2020-01-09","20.734"
Cable,"2020-02-08","21.389"
Cable,"2020-03-09","22.045"
Cable,"2020-04-08","22.085"
Cable,"2020-05-08","21.594"
Cable,"2020-06-07","21.506"
Cable,"2020-07-07","21.78"
Cable,"2020-08-06","17.879"
Cable,"2020-09-05",null
Cable,"2020-10-05","17.987"
Cable,"2020-11-04","17.899"
Cable,"2020-12-04","17.858"
Cable,"2021-01-03","17.597"
Cable,"2021-02-02","17.645"
Cable,"2021-03-04","17.27"
Cable,"2021-04-03","17.335"
Cable,"2021-05-03","16.981"
Cable,"2021-06-02","17.288"
Cable,"2021-07-02","17.149"
Cable,"2021-08-01","16.49"
Cable,"2021-08-31","16.017"
Cable,"2021-09-30","15.848"
Cable,"2021-10-30","15.891"
Cable,"2021-11-29","15.962"
Cable,"2021-12-29","16.026"
Cable,"2022-01-28","15.912"
Cable,"2022-02-27","16.097"
Cable,"2022-03-29","15.964"
Cable,"2022-04-28","16.137"
Cable,"2022-05-28","16.047"
Cable,"2022-06-27","16.021"
Cable,"2022-07-27","15.947"
Cable,"2022-08-26","15.693"
Cable,"2022-09-25",null
Cable,"2022-10-25","15.768"
Cable,"2022-11-24","15.728"
Cable,"2022-12-24","15.723"
Cable,"2023-01-23","15.76"
Cable,"2023-02-22","15.926"
Cable,"2023-03-24","16.297"
Cable,"2023-04-23","16.083"
Cable,"2023-05-23","17.348"
Cable,"2023-06-22","16.858"
Cable,"2023-07-22","16.657"
DSL,"2010-12-27",null
DSL,"2011-01-26","36.233"
DSL,"2011-02-25","34.585"
DSL,"2011-03-27","34.39"
DSL,"2011-04-26","34.756"
DSL,"2011-05-26","34.225"
DSL,"2011-06-25","34.284"
DSL,"2011-07-25","34.3"
DSL,"2011-08-24","34.423"
DSL,"2011-09-23","34.93"
DSL,"2011-10-23","36.133"
DSL,"2011-11-22","38.094"
DSL,"2011-12-22","38.681"
DSL,"2012-01-21","38.859"
DSL,"2012-02-20","40.178"
DSL,"2012-03-21","38.447"
DSL,"2012-04-20","37.352"
DSL,"2012-05-20","37.482"
DSL,"2012-06-19","36.321"
DSL,"2012-07-19","37.243"
DSL,"2012-08-18","36.57"
DSL,"2012-09-17","37.397"
DSL,"2012-10-17","37.94"
DSL,"2012-11-16","38.902"
DSL,"2012-12-16","41.17"
DSL,"2013-01-15","42.751"
DSL,"2013-02-14","42.863"
DSL,"2013-03-16","42.696"
DSL,"2013-04-15","42.356"
DSL,"2013-05-15","42.739"
DSL,"2013-06-14","42.372"
DSL,"2013-07-14","42.405"
DSL,"2013-08-13","40.897"
DSL,"2013-09-12","41.11"
DSL,"2013-10-12","41.334"
DSL,"2013-11-11","42.352"
DSL,"2013-12-11","43.169"
DSL,"2014-01-10","43.594"
DSL,"2014-02-09","41.504"
DSL,"2014-03-11","40.369"
DSL,"2014-04-10","40.891"
DSL,"2014-05-10","40.304"
DSL,"2014-06-09","40.726"
DSL,"2014-07-09","38.397"
DSL,"2014-08-08","37.423"
DSL,"2014-09-07","36.861"
DSL,"2014-10-07","36.66"
DSL,"2014-11-06","36.104"
DSL,"2014-12-06","36.336"
DSL,"2015-01-05","39.901"
DSL,"2015-02-04","40.545"
DSL,"2015-03-06","39.06"
DSL,"2015-04-05","39.291"
DSL,"2015-05-05","38.947"
DSL,"2015-06-04","38.767"
DSL,"2015-07-04","36.131"
DSL,"2015-08-03","36.575"
DSL,"2015-09-02","36.653"
DSL,"2015-10-02","36.239"
DSL,"2015-11-01","35.855"
DSL,"2015-12-01","35.882"
DSL,"2015-12-31","32.286"
DSL,"2016-01-30","32.123"
DSL,"2016-02-29","31.217"
DSL,"2016-03-30","31.42"
DSL,"2016-04-29","31.44"
DSL,"2016-05-29","31.054"
DSL,"2016-06-28","31.205"
DSL,"2016-07-28","32.54"
DSL,"2016-08-27","31.643"
DSL,"2016-09-26","31.141"
DSL,"2016-10-26","31.958"
DSL,"2016-11-25","33.786"
DSL,"2016-12-25","34.056"
DSL,"2017-01-24","34.674"
DSL,"2017-02-23","34.433"
DSL,"2017-03-25","35.357"
DSL,"2017-04-24","35.649"
DSL,"2017-05-24","34.913"
DSL,"2017-06-23","34.584"
DSL,"2017-07-23","34.302"
DSL,"2017-08-22","34.06"
DSL,"2017-09-21","33.988"
DSL,"2017-10-21","34.258"
DSL,"2017-11-20","33.361"
DSL,"2017-12-20","33.622"
DSL,"2018-01-19","33.45"
DSL,"2018-02-18","33.682"
DSL,"2018-03-20","31.299"
DSL,"2018-04-19","30.858"
DSL,"2018-05-19","31.545"
DSL,"2018-06-18","30.709"
DSL,"2018-07-18","28.576"
DSL,"2018-08-17","27.836"
DSL,"2018-09-16","27.469"
DSL,"2018-10-16","27.375"
DSL,"2018-11-15","27.952"
DSL,"2018-12-15","28.39"
DSL,"2019-01-14","28.703"
DSL,"2019-02-13","28.995"
DSL,"2019-03-15","28.29"
DSL,"2019-04-14","28.021"
DSL,"2019-05-14","28.466"
DSL,"2019-06-13","28.618"
DSL,"2019-07-13","28.352"
DSL,"2019-08-12","28.7"
DSL,"2019-09-11","28.669"
DSL,"2019-10-11","28.242"
DSL,"2019-11-10","31.361"
DSL,"2019-12-10","32.948"
DSL,"2020-01-09","32.323"
DSL,"2020-02-08","32.775"
DSL,"2020-03-09","33.487"
DSL,"2020-04-08","33.047"
DSL,"2020-05-08","32.643"
DSL,"2020-06-07","32.088"
DSL,"2020-07-07","31.6"
DSL,"2020-08-06","27.681"
DSL,"2020-09-05",null
DSL,"2020-10-05","28.929"
DSL,"2020-11-04","29.166"
DSL,"2020-12-04","29.033"
DSL,"2021-01-03","26.522"
DSL,"2021-02-02","26.881"
DSL,"2021-03-04","26.729"
DSL,"2021-04-03","26.903"
DSL,"2021-05-03","26.244"
DSL,"2021-06-02","26.217"
DSL,"2021-07-02","25.882"
DSL,"2021-08-01","25.803"
DSL,"2021-08-31","26.235"
DSL,"2021-09-30","26.094"
DSL,"2021-10-30","25.851"
DSL,"2021-11-29","25.803"
DSL,"2021-12-29","25.898"
DSL,"2022-01-28","26.123"
DSL,"2022-02-27","26.417"
DSL,"2022-03-29","26.401"
DSL,"2022-04-28","26.635"
DSL,"2022-05-28","26.752"
DSL,"2022-06-27","27.037"
DSL,"2022-07-27","27.076"
DSL,"2022-08-26","27.032"
DSL,"2022-09-25",null
DSL,"2022-10-25","26.622"
DSL,"2022-11-24","26.654"
DSL,"2022-12-24","26.87"
DSL,"2023-01-23","26.904"
DSL,"2023-02-22","26.576"
DSL,"2023-03-24","26.171"
DSL,"2023-04-23","25.883"
DSL,"2023-05-23","27.059"
DSL,"2023-06-22","27.057"
DSL,"2023-07-22","26.721"
Fiber,"2010-12-27",null
Fiber,"2011-01-26","16.927"
Fiber,"2011-02-25","17.206"
Fiber,"2011-03-27","16.845"
Fiber,"2011-04-26","16.561"
Fiber,"2011-05-26","16.557"
Fiber,"2011-06-25","16.46"
Fiber,"2011-07-25","17.178"
Fiber,"2011-08-24","17.341"
Fiber,"2011-09-23","17.461"
Fiber,"2011-10-23","17.246"
Fiber,"2011-11-22","16.969"
Fiber,"2011-12-22","17.719"
Fiber,"2012-01-21","18.819"
Fiber,"2012-02-20","20.121"
Fiber,"2012-03-21","17.832"
Fiber,"2012-04-20","13.143"
Fiber,"2012-05-20","13.53"
Fiber,"2012-06-19","13.313"
Fiber,"2012-07-19","13.315"
Fiber,"2012-08-18","13.108"
Fiber,"2012-09-17","14.249"
Fiber,"2012-10-17","14.292"
Fiber,"2012-11-16","13.593"
Fiber,"2012-12-16","13.584"
Fiber,"2013-01-15","14.883"
Fiber,"2013-02-14","15.749"
Fiber,"2013-03-16","15.232"
Fiber,"2013-04-15","15.517"
Fiber,"2013-05-15","17.612"
Fiber,"2013-06-14","16.642"
Fiber,"2013-07-14","16.214"
Fiber,"2013-08-13","16.019"
Fiber,"2013-09-12","16.874"
