"dtime per 30 days","Downstream LUL"
"2010-12-27",null
"2011-01-26","97.925"
"2011-02-25","86.905"
"2011-03-27","82.901"
"2011-04-26","85.713"
"2011-05-26","92.489"
"2011-06-25","90.871"
"2011-07-25","86.903"
"2011-08-24","88.28"
"2011-09-23","110.663"
"2011-10-23","113.138"
"2011-11-22","115.174"
"2011-12-22","114.063"
"2012-01-21","124.459"
"2012-02-20","118.23"
"2012-03-21","119.966"
"2012-04-20","112.146"
"2012-05-20","107.894"
"2012-06-19","108.265"
"2012-07-19","109.406"
"2012-08-18","110.977"
"2012-09-17","108.579"
"2012-10-17","111.196"
"2012-11-16","109.276"
"2012-12-16","111.061"
"2013-01-15","114.925"
"2013-02-14","116.374"
"2013-03-16","110.072"
"2013-04-15","106.892"
"2013-05-15","105.672"
"2013-06-14","103.355"
"2013-07-14","102.077"
"2013-08-13","100.725"
"2013-09-12","103.539"
"2013-10-12","99.724"
"2013-11-11","98.267"
"2013-12-11","93.681"
"2014-01-10","98.742"
"2014-02-09","97.875"
"2014-03-11","95.918"
"2014-04-10","96.062"
"2014-05-10",97
"2014-06-09","102.934"
"2014-07-09","102.758"
"2014-08-08","102.499"
"2014-09-07","101.753"
"2014-10-07","102.827"
"2014-11-06","102.377"
"2014-12-06","102.737"
"2015-01-05","113.818"
"2015-02-04","113.06"
"2015-03-06","108.872"
"2015-04-05","104.693"
"2015-05-05","103.991"
"2015-06-04","102.783"
"2015-07-04","99.271"
"2015-08-03","98.186"
"2015-09-02","93.409"
"2015-10-02","96.544"
"2015-11-01","94.831"
"2015-12-01","94.009"
"2015-12-31","82.923"
"2016-01-30","84.081"
"2016-02-29","80.88"
"2016-03-30","82.433"
"2016-04-29","81.387"
"2016-05-29","79.129"
"2016-06-28","81.264"
"2016-07-28","83.782"
"2016-08-27","89.609"
"2016-09-26","90.4"
"2016-10-26","85.948"
"2016-11-25","83.88"
"2016-12-25","85.487"
"2017-01-24","86.796"
"2017-02-23","83.844"
"2017-03-25","84.879"
"2017-04-24","82.635"
"2017-05-24","83.48"
"2017-06-23","84.838"
"2017-07-23","85.672"
"2017-08-22","83.457"
"2017-09-21","80.329"
"2017-10-21","81.04"
"2017-11-20","78.085"
"2017-12-20","78.103"
"2018-01-19","77.973"
"2018-02-18","74.522"
"2018-03-20","73.671"
"2018-04-19","73.413"
"2018-05-19","75.358"
"2018-06-18","71.764"
"2018-07-18","70.8"
"2018-08-17","62.915"
"2018-09-16","59.394"
"2018-10-16","60.932"
"2018-11-15","60.388"
"2018-12-15","59.756"
"2019-01-14","62.397"
"2019-02-13","62.847"
"2019-03-15","59.633"
"2019-04-14","58.625"
"2019-05-14","53.847"
"2019-06-13","57.042"
"2019-07-13","55.862"
"2019-08-12","57.706"
"2019-09-11","56.901"
"2019-10-11","56.858"
"2019-11-10","55.283"
"2019-12-10","57.684"
"2020-01-09","55.342"
"2020-02-08","55.483"
"2020-03-09","55.522"
"2020-04-08","55.939"
"2020-05-08","55.318"
"2020-06-07","53.878"
"2020-07-07","53.632"
"2020-08-06","51.076"
"2020-09-05",null
"2020-10-05","52.299"
"2020-11-04","54.792"
"2020-12-04","55.45"
"2021-01-03","50.909"
"2021-02-02","49.925"
"2021-03-04","49.136"
"2021-04-03","49.216"
"2021-05-03","45.91"
"2021-06-02","46.752"
"2021-07-02","45.508"
"2021-08-01","43.881"
"2021-08-31","45.405"
"2021-09-30","45.643"
"2021-10-30","44.956"
"2021-11-29","44.409"
"2021-12-29","43.719"
"2022-01-28","45.435"
"2022-02-27","45.176"
"2022-03-29","43.31"
"2022-04-28","43.04"
"2022-05-28","43.038"
"2022-06-27","40.741"
"2022-07-27","42.117"
"2022-08-26","41.508"
"2022-09-25",null
"2022-10-25","40.674"
"2022-11-24","40.673"
"2022-12-24","39.685"
"2023-01-23","39.62"
"2023-02-22","37.579"
"2023-03-24","37.207"
"2023-04-23","35.969"
"2023-05-23","39.375"
"2023-06-22","39.079"
"2023-07-22","36.521"
