"dtime per 30 days","Upstream LUL"
"2010-12-27",null
"2011-01-26","584.707"
"2011-02-25","570.896"
"2011-03-27","561.544"
"2011-04-26","566.513"
"2011-05-26","576.675"
"2011-06-25","572.274"
"2011-07-25","566.617"
"2011-08-24","566.972"
"2011-09-23","602.111"
"2011-10-23","604.576"
"2011-11-22","589.255"
"2011-12-22","583.836"
"2012-01-21","575.269"
"2012-02-20","579.256"
"2012-03-21","563.588"
"2012-04-20","554.948"
"2012-05-20","533.676"
"2012-06-19","543.442"
"2012-07-19","541.465"
"2012-08-18","525.367"
"2012-09-17","510.966"
"2012-10-17","504.202"
"2012-11-16","504.368"
"2012-12-16","497.626"
"2013-01-15","452.326"
"2013-02-14","448.734"
"2013-03-16","440.248"
"2013-04-15","425.275"
"2013-05-15","419.041"
"2013-06-14","413.737"
"2013-07-14","403.521"
"2013-08-13","381.737"
"2013-09-12","378.422"
"2013-10-12","367.159"
"2013-11-11","362.318"
"2013-12-11","352.791"
"2014-01-10","354.606"
"2014-02-09","360.748"
"2014-03-11","348.601"
"2014-04-10","349.617"
"2014-05-10","342.799"
"2014-06-09","358.765"
"2014-07-09","353.658"
"2014-08-08","340.932"
"2014-09-07","330.699"
"2014-10-07","321.898"
"2014-11-06","308.835"
"2014-12-06","305.743"
"2015-01-05","287.244"
"2015-02-04","290.768"
"2015-03-06","291.24"
"2015-04-05","289.337"
"2015-05-05","280.209"
"2015-06-04","279.328"
"2015-07-04","272.557"
"2015-08-03","265.799"
"2015-09-02","246.664"
"2015-10-02","239.97"
"2015-11-01","241.722"
"2015-12-01","241.821"
"2015-12-31","266.479"
"2016-01-30","260.663"
"2016-02-29","257.326"
"2016-03-30","254.357"
"2016-04-29","259.035"
"2016-05-29","247.245"
"2016-06-28",null
"2016-07-28","240.164"
"2016-08-27","226.704"
"2016-09-26","216.07"
"2016-10-26","202.842"
"2016-11-25","198.694"
"2016-12-25","181.913"
"2017-01-24","180.179"
"2017-02-23","176.327"
"2017-03-25","175.396"
"2017-04-24","172.115"
"2017-05-24","166.985"
"2017-06-23","161.178"
"2017-07-23","161.995"
"2017-08-22","156.469"
"2017-09-21","134.186"
"2017-10-21","138.319"
"2017-11-20","134.489"
"2017-12-20","134.388"
"2018-01-19","135.717"
"2018-02-18","133.829"
"2018-03-20","123.565"
"2018-04-19","125.309"
"2018-05-19","122.512"
"2018-06-18","113.554"
"2018-07-18","107.704"
"2018-08-17","96.7"
"2018-09-16","90.727"
"2018-10-16","90.466"
"2018-11-15","85.533"
"2018-12-15","85.045"
"2019-01-14","84.863"
"2019-02-13","86.803"
"2019-03-15","86.528"
"2019-04-14","83.801"
"2019-05-14","81.085"
"2019-06-13","76.356"
"2019-07-13","70.192"
"2019-08-12","68.852"
"2019-09-11","68.301"
"2019-10-11","66.914"
"2019-11-10","68.866"
"2019-12-10","71.111"
"2020-01-09","74.438"
"2020-02-08","76.527"
"2020-03-09","76.739"
"2020-04-08","78.823"
"2020-05-08","77.017"
"2020-06-07","74.543"
"2020-07-07","75.602"
"2020-08-06","71.426"
"2020-09-05",null
"2020-10-05","84.906"
"2020-11-04","91.1"
"2020-12-04","92.385"
"2021-01-03","84.538"
"2021-02-02","81.48"
"2021-03-04","80.199"
"2021-04-03","83.127"
"2021-05-03","66.153"
"2021-06-02","63.981"
"2021-07-02","62.457"
"2021-08-01","60.793"
"2021-08-31","59.77"
"2021-09-30","60.974"
"2021-10-30","59.567"
"2021-11-29","59.054"
"2021-12-29","58.435"
"2022-01-28","59.421"
"2022-02-27","58.536"
"2022-03-29","58.116"
"2022-04-28","56.126"
"2022-05-28","55.782"
"2022-06-27","56.288"
"2022-07-27","54.535"
"2022-08-26","54.035"
"2022-09-25",null
"2022-10-25","57.502"
"2022-11-24","55.361"
"2022-12-24","54.124"
"2023-01-23","52.954"
"2023-02-22","48.776"
"2023-03-24","45.624"
"2023-04-23","45.114"
"2023-05-23","46.848"
"2023-06-22","46.2"
"2023-07-22","42.842"
