Unit ID,ISP,Download,Upload,Technology,State,Region,Days,timezone_offset,timezone_offset_dst
6,Comcast,15,2,CABLE,UNKNOWN,UNKNOWN,30,-5,-4
11,Verizon,35,35,FIBER,MA,NORTHEAST,30,-5,-4
15,Verizon DSL,3,0.768,DSL,UNKNOWN,UNKNOWN,30,-5,-4
358,Comcast,105,10,CABLE,VA,SOUTH,30,-5,-4
360,Comcast,15,2,CABLE,VA,SOUTH,30,-5,-4
361,Cablevision,30,5,CABLE,NY,NORTHEAST,30,-5,-4
365,Cablevision,15,2,CABLE,NY,NORTHEAST,30,-5,-4
368,AT&T,6,1,DSL,UNKNOWN,UNKNOWN,16,-6,-5
372,Windstream,3,0.768,DSL,AR,SOUTH,30,-6,-5
373,TimeWarner,10,1,CABLE,TX,SOUTH,30,-6,-5
380,Charter,100,5,CABLE,MO,MIDWEST,30,-6,-5
381,CenturyLink,1.5,0.512,DSL,MO,MIDWEST,28,-6,-5
382,AT&T,0.768,0.128,DSL,SC,SOUTH,29,-5,-4
384,Verizon DSL,3,0.768,DSL,MD,SOUTH,30,-5,-4
386,Verizon,150,65,FIBER,ma,NORTHEAST,30,-5,-4
389,TimeWarner,10,1,CABLE,WI,MIDWEST,18,-6,-5
390,Verizon,15,5,FIBER,KY,SOUTH,30,-5,-4
395,TimeWarner,50,5,CABLE,NY,NORTHEAST,30,-5,-4
396,AT&T,12,1.5,DSL,CA,WEST,30,-8,-7
397,Verizon,50,25,FIBER,nJ,NORTHEAST,30,-5,-4
398,Comcast,15,2,CABLE,MI,MIDWEST,30,-5,-4
405,AT&T,3,0.512,DSL,IL,MIDWEST,30,-6,-5
408,Windstream,12,0.768,DSL,NC,SOUTH,30,-5,-4
409,CenturyLink,1.5,0.256,DSL,mo,MIDWEST,29,-6,-5
412,Verizon,15,5,FIBER,TX,SOUTH,27,-6,-5
414,Comcast,25,4,CABLE,WA,WEST,30,-8,-7
415,AT&T,6,0.512,DSL,GA,SOUTH,30,-5,-4
416,Qwest,12,0.896,DSL,nm,WEST,30,-7,-6
417,CenturyLink,3,0.64,DSL,FL,SOUTH,30,-5,-4
418,AT&T,0.768,0.384,DSL,OK,SOUTH,24,-6,-5
419,Cablevision,15,2,CABLE,NY,NORTHEAST,30,-5,-4
421,Comcast,25,4,CABLE,CA,WEST,20,-8,-7
422,Comcast,15,2,CABLE,WA,WEST,30,-8,-7
423,Cox,50,5,CABLE,CA,WEST,4,-8,-7
426,TimeWarner,10,1,CABLE,WA,WEST,30,-8,-7
429,Verizon,25,25,FIBER,CA,WEST,30,-8,-7
431,Verizon,15,5,FIBER,CA,WEST,30,-8,-7
434,Verizon,20,5,FIBER,MD,SOUTH,30,-5,-4
435,Verizon,25,25,FIBER,MD,SOUTH,30,-5,-4
439,Cox,18,2,CABLE,CA,WEST,4,-8,-7
440,Qwest,12,0.896,DSL,CO,WEST,30,-7,-6
444,Cox,15,2,CABLE,AZ,WEST,30,-7,-7
447,Verizon,35,35,FIBER,PA,NORTHEAST,30,-5,-4
448,AT&T,6,0.768,DSL,IN,MIDWEST,30,-5,-5
449,Verizon,15,5,FIBER,CA,WEST,25,-8,-7
452,Frontier,3,0.384,DSL,CA,WEST,30,-8,-7
454,Insight,10,1,CABLE,KY,SOUTH,30,-5,-4
456,Windstream,6,0.768,DSL,KY,SOUTH,30,-5,-4
457,TimeWarner,20,2,CABLE,TX,SOUTH,30,-6,-5
458,Cox,3,0.768,CABLE,NJ,NORTHEAST,30,-5,-4
460,Comcast,15,2,CABLE,NJ,NORTHEAST,30,-5,-4
462,Cablevision,15,2,CABLE,NJ,NORTHEAST,29,-5,-4
