Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download Lower Bound,Download Upper Bound,Upload
380,Charter,Cable,MO,Midwest,-6,-5,100,,,5
382,AT&T DSL,DSL,SC,South,-5,-4,3,,,0.384
390,Verizon Fiber,Fiber,KY,South,-5,-4,75,,,75
396,CenturyLink,DSL,CA,West,-8,-7,40,,,5
414,Comcast,Cable,WA,West,-8,-7,25,,,5
422,Comcast,Cable,WA,West,-8,-7,75,,,5
429,TWC,Cable,CA,West,-8,-7,200,,,20
437,TWC,Cable,CA,West,-8,-7,50,,,5
447,Verizon Fiber,Fiber,PA,Northeast,-5,-4,50,,,50
458,Cox,Cable,NJ,Northeast,-6,-5,100,,,10
463,Comcast,Cable,IL,Midwest,-6,-5,75,,,10
464,AT&T IPBB,DSL,OH,Midwest,-5,-4,18,,,1.5
468,Charter,Cable,MO,Midwest,-6,-5,100,,,4
471,Comcast,Cable,IL,Midwest,-6,-5,105,,,20
475,Comcast,Cable,IL,Midwest,-6,-5,75,,,10
477,Verizon Fiber,Fiber,NJ,Northeast,-6,-5,50,,,50
482,AT&T IPBB,DSL,CA,West,-8,-7,24,,,3
488,Mediacom,Cable,CA,West,-8,-7,50,,,5
494,Cox,Cable,VA,South,-5,-4,50,,,5
507,AT&T IPBB,DSL,IL,Midwest,-6,-5,12,,,1
509,TWC,Cable,CA,West,-8,-7,20,,,2
517,Cox,Cable,AZ,West,-7,-7,50,,,5
519,TWC,Cable,NC,South,-5,-4,100,,,10
521,Charter,Cable,NV,West,-8,-7,60,,,5
522,Verizon Fiber,Fiber,VA,South,-5,-4,25,,,25
525,Cox,Cable,AZ,West,-7,-7,50,,,5
528,AT&T IPBB,DSL,CA,West,-8,-7,6,,,1
533,Verizon DSL,DSL,MA,Northeast,-5,-4,[0.5 - 1.0],0.5,1,0.384
537,TWC,Cable,IL,Midwest,-6,-5,30,,,5
545,Comcast,Cable,NJ,Northeast,-6,-5,200,,,10
548,Comcast,Cable,CA,West,-8,-7,100,,,5
549,Charter,Cable,WI,Midwest,-6,-5,60,,,4
559,Comcast,Cable,UT,West,-7,-6,105,,,10
562,Cox,Cable,AZ,West,-7,-7,5,,,1
563,AT&T IPBB,DSL,CA,West,-8,-7,6,,,1
566,Comcast,Cable,NH,Northeast,-5,-4,25,,,5
567,Mediacom,Cable,MO,Midwest,-6,-5,100,,,10
569,Cox,Cable,OK,South,-6,-5,50,,,5
576,Verizon Fiber,Fiber,PA,Northeast,-5,-4,75,,,75
