Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Download - Lower Bound,Download - Upper Bound,Upload,WB Model,Whitebox can support download speed,Whitebox can support upload speed
27620,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,1,,,0.384,WR741ND,Yes,Yes
797820,Frontier ,DSL,WI,Midwest,-6 hr,-5 hr,3,,,0.384,WR741NDv4,Yes,Yes
27403,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.768,WR741ND,Yes,Yes
942820,Frontier ,DSL,PA,Northeast,-5 hr,-4 hr,1.5,,,0.384,AC1750v2,Yes,Yes
215252,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.768,WR741NDv4,Yes,Yes
27421,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,1.5,,,0.384,WR741ND,Yes,Yes
1000281,Frontier ,DSL,NC,South,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
948130,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,12,,,1,AC1750v2,Yes,Yes
214388,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,6,,,0.384,WR741NDv4,Yes,Yes
1000589,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
29688,Frontier ,DSL,NV,West,-8 hr,-7 hr,3,,,0.768,WR1043ND,Yes,Yes
11895,Frontier ,DSL,PA,Northeast,-5 hr,-4 hr,3,,,0.384,WNR3500L,Yes,Yes
1000872,Frontier ,DSL,IN,Midwest,-5 hr,-4 hr,6,,,0.384,SK Whitebox 8.0,Yes,Yes
216700,Frontier ,DSL,OR,West,-8 hr,-7 hr,3,,,0.768,WR741NDv4,Yes,Yes
27559,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,3,,,0.384,WR741ND,Yes,Yes
1000978,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
814967,Frontier ,DSL,IN,Midwest,-5 hr,-4 hr,3,,,0.768,WDR3600,Yes,Yes
27024,Frontier ,DSL,WA,West,-8 hr,-7 hr,3,,,0.768,WR741ND,Yes,Yes
1000263,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
1000279,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
28973,Frontier ,DSL,ID,West,-8 hr,-7 hr,3,,,0.768,WR1043ND,Yes,Yes
1002466,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
619826,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.768,WR741NDv4,Yes,Yes
27778,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.768,WR741ND,Yes,Yes
1000271,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
1002476,Frontier ,DSL,WA,West,-8 hr,-7 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
1000864,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,3,,,1,SK Whitebox 8.0,Yes,Yes
986613,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
1000255,Frontier ,DSL,WA,West,-8 hr,-7 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
27797,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.768,WR741ND,Yes,Yes
1000277,Frontier ,DSL,NC,South,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
27771,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.768,WR741ND,Yes,Yes
1002456,Frontier ,DSL,CA,West,-8 hr,-7 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
216820,Frontier ,DSL,NC,South,-5 hr,-4 hr,3,,,0.768,WDR3600,Yes,Yes
1002504,Frontier ,DSL,IN,Midwest,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
1000591,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
27416,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.768,WR741ND,Yes,Yes
215234,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,3,,,0.768,WR741NDv4,Yes,Yes
29743,Frontier ,DSL,WA,West,-8 hr,-7 hr,3,,,0.768,WR1043ND,Yes,Yes
1000261,Frontier ,DSL,WI,Midwest,-6 hr,-5 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
1000265,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
27079,Frontier ,DSL,WA,West,-8 hr,-7 hr,3,,,0.768,WR741ND,Yes,Yes
805000,Frontier ,DSL,WA,West,-8 hr,-7 hr,3,,,0.768,WR741NDv4,Yes,Yes
11878,Frontier ,DSL,CA,West,-8 hr,-7 hr,3,,,0.768,WNR3500L,Yes,Yes
1001870,Frontier ,DSL,CA,West,-8 hr,-7 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
1001344,Frontier ,DSL,CA,West,-8 hr,-7 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
1000583,Frontier ,DSL,FL,South,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
1000253,Frontier ,DSL,NC,South,-5 hr,-4 hr,3,,,0.384,SK Whitebox 8.0,Yes,Yes
216148,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,3,,,0.384,WR741NDv4,Yes,Yes
942832,Frontier ,DSL,ID,West,-8 hr,-7 hr,12,,,1,AC1750v2,Yes,Yes
217759,Frontier ,DSL,CA,West,-8 hr,-7 hr,3,,,0.768,WR741NDv4,Yes,Yes
1000275,Frontier ,DSL,IN,Midwest,-5 hr,-4 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
849896,Frontier ,DSL,OR,West,-8 hr,-7 hr,6,,,0.768,WR741NDv4,Yes,Yes
1006490,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
27917,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,6,,,0.384,WR741ND,Yes,Yes
947100,Frontier ,DSL,WI,Midwest,-6 hr,-5 hr,6,,,0.384,AC1750v2,Yes,Yes
27411,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,6,,,0.768,WR741ND,Yes,Yes
27306,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,6,,,0.768,WR1043ND,Yes,Yes
1009188,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
9707,Frontier ,DSL,WA,West,-8 hr,-7 hr,6,,,0.768,WNR3500L,Yes,Yes
27390,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,6,,,0.768,WR741ND,Yes,Yes
26333,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,6,,,0.768,WR741ND,Yes,Yes
1000229,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
797290,Frontier ,DSL,WV,South,-5 hr,-4 hr,6,,,0.768,WR741NDv4,Yes,Yes
213620,Frontier ,DSL,CA,West,-8 hr,-7 hr,6,,,0.384,WR741NDv4,Yes,Yes
1000509,Frontier ,DSL,NV,West,-8 hr,-7 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
217196,Frontier ,DSL,CA,West,-8 hr,-7 hr,6,,,0.384,WR741NDv4,Yes,Yes
6304,Frontier ,DSL,CA,West,-8 hr,-7 hr,6,,,0.384,WNR3500L,Yes,Yes
1006496,Frontier ,DSL,GA,South,-5 hr,-4 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
1000521,Frontier ,DSL,PA,Northeast,-5 hr,-4 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
1000211,Frontier ,DSL,ID,West,-7 hr,-6 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
1002428,Frontier ,DSL,WI,Midwest,-6 hr,-5 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
9985,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,6,,,0.384,WNR3500L,Yes,Yes
1000205,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
27918,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,6,,,0.768,WR741ND,Yes,Yes
216648,Frontier ,DSL,WI,Midwest,-6 hr,-5 hr,6,,,0.768,WR741NDv4,Yes,Yes
27270,Frontier ,DSL,CA,West,-8 hr,-7 hr,7,,,0.768,WR741ND,Yes,Yes
1002192,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,6,,,1,SK Whitebox 8.0,Yes,Yes
7392,Frontier ,DSL,WV,South,-5 hr,-4 hr,6,,,0.768,WNR3500L,Yes,Yes
1006504,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
213332,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,6,,,0.384,WR741NDv4,Yes,Yes
1006514,Frontier ,DSL,WV,South,-5 hr,-4 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
7523,Frontier ,DSL,IN,Midwest,-5 hr,-4 hr,6,,,0.768,WNR3500L,Yes,Yes
9723,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,6,,,0.384,WNR3500L,Yes,Yes
1002388,Frontier ,DSL,TN,South,-6 hr,-5 hr,6,,,0.768,SK Whitebox 8.0,Yes,Yes
28765,Frontier ,DSL,WI,Midwest,-6 hr,-5 hr,6,,,0.768,WR741ND,Yes,Yes
27804,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,6,,,0.768,WR741ND,Yes,Yes
216710,Frontier ,DSL,WA,West,-8 hr,-7 hr,6,,,0.768,WDR3600,Yes,Yes
216654,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,6,,,0.384,WR741NDv4,Yes,Yes
27102,Frontier ,DSL,WA,West,-8 hr,-7 hr,6,,,0.768,WR741ND,Yes,Yes
28936,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,6,,,0.768,WR1043ND,Yes,Yes
27001,Frontier ,DSL,OR,West,-8 hr,-7 hr,6,,,0.768,WR741ND,Yes,Yes
27934,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,6,,,0.768,WR741ND,Yes,Yes
27784,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,6,,,0.768,WR741ND,Yes,Yes
27053,Frontier ,DSL,OR,West,-8 hr,-7 hr,6,,,0.384,WR741ND,Yes,Yes
797340,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,6,,,0.768,WR741NDv4,Yes,Yes
234826,Frontier ,DSL,ID,West,-7 hr,-6 hr,10,,,1,WR741NDv4,Yes,Yes
947090,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,12,,,1,AC1750v2,Yes,Yes
942650,Frontier ,DSL,NV,West,-8 hr,-7 hr,12,,,1,AC1750v2,Yes,Yes
235314,Frontier ,DSL,WA,West,-8 hr,-7 hr,12,,,2,WDR3600,Yes,Yes
27423,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,12,,,1,WR741ND,Yes,Yes
947136,Frontier ,DSL,CA,West,-8 hr,-7 hr,12,,,1,AC1750v2,Yes,Yes
947078,Frontier ,DSL,WA,West,-8 hr,-7 hr,12,,,1,AC1750v2,Yes,Yes
942828,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,12,,,1,AC1750v2,Yes,Yes
1001898,Frontier ,DSL,CA,West,-8 hr,-7 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
26334,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,12,,,1,WR741ND,Yes,Yes
1006828,Frontier ,DSL,WV,South,-5 hr,-4 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
27911,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,12,,,1,WR741ND,Yes,Yes
1000914,Frontier ,DSL,PA,Northeast,-5 hr,-4 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
7227,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,12,,,1,WNR3500L,Yes,Yes
1000529,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
26852,Frontier ,DSL,PA,Northeast,-5 hr,-4 hr,12,,,1,WR741ND,Yes,Yes
9319,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,12,,,1,WNR3500L,Yes,Yes
27906,Frontier ,DSL,WI,Midwest,-6 hr,-5 hr,12,,,1,WR741ND,Yes,Yes
1000954,Frontier ,DSL,AZ,West,-7 hr,-7 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
27912,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,12,,,1,WR741ND,Yes,Yes
1006502,Frontier ,DSL,PA,Northeast,-5 hr,-4 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
27058,Frontier ,DSL,OR,West,-8 hr,-7 hr,12,,,1,WR741ND,Yes,Yes
797292,Frontier ,DSL,WV,South,-5 hr,-4 hr,12,,,2,WR741NDv4,Yes,Yes
941994,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,12,,,1,AC1750v2,Yes,Yes
1000918,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
947088,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,12,,,1,AC1750v2,Yes,Yes
1000986,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
947122,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,12,,,1,AC1750v2,Yes,Yes
1000549,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
656804,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,12,,,1,WR741NDv4,Yes,Yes
947086,Frontier ,DSL,CA,West,-8 hr,-7 hr,12,,,1,AC1750v2,Yes,Yes
947104,Frontier ,DSL,WI,Midwest,-6 hr,-5 hr,12,,,1,AC1750v2,Yes,Yes
27418,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,12,,,1,WR741ND,Yes,Yes
947124,Frontier ,DSL,NC,South,-5 hr,-4 hr,12,,,1,AC1750v2,Yes,Yes
215230,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,12,,,1,WR741NDv4,Yes,Yes
26829,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,12,,,1,WR741ND,Yes,Yes
942034,Frontier ,DSL,MN,Midwest,-6 hr,-5 hr,12,,,1,AC1750v2,Yes,Yes
942616,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,12,,,1,AC1750v2,Yes,Yes
216638,Frontier ,DSL,WA,West,-8 hr,-7 hr,12,,,1,WR741NDv4,Yes,Yes
947116,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,12,,,1,AC1750v2,Yes,Yes
943260,Frontier ,DSL,NV,West,-8 hr,-7 hr,12,,,1,AC1750v2,Yes,Yes
1001886,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,12,,,1,SK Whitebox 8.0,Yes,Yes
947064,Frontier ,DSL,OR,West,-8 hr,-7 hr,12,,,1,AC1750v2,Yes,Yes
26851,Frontier ,DSL,PA,Northeast,-5 hr,-4 hr,12,,,1,WR741ND,Yes,Yes
1000241,Frontier ,DSL,WA,West,-8 hr,-7 hr,12,,,2,SK Whitebox 8.0,Yes,Yes
7729,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,12,,,1,WNR3500L,Yes,Yes
12266,Frontier ,DSL,CA,West,-8 hr,-7 hr,15,,,1,WNR3500L,Yes,Yes
26659,Frontier ,DSL,CT,Northeast,-5 hr,-4 hr,12,,,1,WR741ND,Yes,Yes
214572,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,24,,,1,WR741NDv4,Yes,Yes
1000233,Frontier ,DSL,IL,Midwest,-6 hr,-5 hr,24,,,1,SK Whitebox 8.0,Yes,Yes
1000543,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
890438,Frontier ,DSL,WV,South,-5 hr,-4 hr,24,,,1,WR741NDv4,Yes,Yes
6216,Frontier ,Fiber,TX,South,-6 hr,-5 hr,25,,,25,WNR3500L,Yes,Yes
1000932,Frontier ,DSL,OH,Midwest,-5 hr,-4 hr,24,,,1,SK Whitebox 8.0,Yes,Yes
27095,Frontier ,DSL,WA,West,-8 hr,-7 hr,24,,,1,WR741ND,Yes,Yes
26838,Frontier ,DSL,NY,Northeast,-5 hr,-4 hr,24,,,1,WR741ND,Yes,Yes
1000567,Frontier ,DSL,WI,Midwest,-6 hr,-5 hr,24,,,1,SK Whitebox 8.0,Yes,Yes
797338,Frontier ,DSL,MI,Midwest,-5 hr,-4 hr,24,,,1,WR741NDv4,Yes,Yes
1000790,Frontier ,Fiber,TX,South,-6 hr,-5 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
1000489,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
1000804,Frontier ,Fiber,TX,South,-6 hr,-5 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
28862,Frontier ,Fiber,WA,West,-8 hr,-7 hr,25,,,10,WR741ND,Yes,Yes
1000557,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
1000936,Frontier ,Fiber,CA,West,-8 hr,-7 hr,50,,,50,SK Whitebox 8.0,Yes,Yes
589656,Frontier ,Fiber,WA,West,-8 hr,-7 hr,25,,,10,WDR3600,Yes,Yes
1000966,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
1009348,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
799136,Frontier ,Fiber,IN,Midwest,-5 hr,-4 hr,25,,,10,WDR3600,Yes,Yes
1001302,Frontier ,Fiber,CA,West,-8 hr,-7 hr,50,,,50,SK Whitebox 8.0,Yes,Yes
1000483,Frontier ,Fiber,TX,South,-6 hr,-5 hr,25,,,10,SK Whitebox 8.0,Yes,Yes
1009364,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
214634,Frontier ,Fiber,OR,West,-8 hr,-7 hr,25,,,10,WR741NDv4,Yes,Yes
1000193,Frontier ,Fiber,TX,South,-6 hr,-5 hr,50,,,50,SK Whitebox 8.0,Yes,Yes
27124,Frontier ,Fiber,OR,West,-8 hr,-7 hr,25,,,10,WR1043ND,Yes,Yes
1000563,Frontier ,Fiber,CA,West,-8 hr,-7 hr,100,,,100,SK Whitebox 8.0,Yes,Yes
986693,Frontier ,Fiber,TX,South,-6 hr,-5 hr,50,,,50,SK Whitebox 8.0,Yes,Yes
1000575,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
1000167,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
1009346,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
799142,Frontier ,Fiber,WA,West,-8 hr,-7 hr,25,,,10,WDR3600,Yes,Yes
1009354,Frontier ,Fiber,FL,South,-5 hr,-4 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
26989,Frontier ,Fiber,OR,West,-8 hr,-7 hr,25,,,25,WR741ND,Yes,Yes
216704,Frontier ,Fiber,OR,West,-8 hr,-7 hr,25,,,10,WR741NDv4,Yes,Yes
805696,Frontier ,Fiber,WA,West,-8 hr,-7 hr,25,,,10,WDR3600,Yes,Yes
799150,Frontier ,Fiber,WA,West,-8 hr,-7 hr,25,,,10,WDR3600,Yes,Yes
10451,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,WNR3500L,Yes,Yes
26992,Frontier ,Fiber,OR,West,-8 hr,-7 hr,25,,,10,WR741ND,Yes,Yes
1000157,Frontier ,Fiber,TX,South,-6 hr,-5 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
1000215,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
1000495,Frontier ,Fiber,FL,South,-5 hr,-4 hr,50,,,50,SK Whitebox 8.0,Yes,Yes
1000858,Frontier ,Fiber,TX,South,-6 hr,-5 hr,25,,,25,SK Whitebox 8.0,Yes,Yes
1000485,Frontier ,Fiber,CA,West,-8 hr,-7 hr,50,,,50,SK Whitebox 8.0,Yes,Yes
10397,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,WNR3500L,Yes,Yes
6814,Frontier ,Fiber,CA,West,-8 hr,-7 hr,25,,,25,WNR3500L,Yes,Yes
243250,Frontier ,Fiber,WA,West,-8 hr,-7 hr,50,,,50,WR741NDv4,Yes,Yes
232912,Frontier ,Fiber,OR,West,-8 hr,-7 hr,50,,,10,WR741NDv4,Yes,Yes
27051,Frontier ,Fiber,OR,West,-8 hr,-7 hr,50,,,50,WR741ND,Yes,Yes
26948,Frontier ,Fiber,OR,West,-8 hr,-7 hr,50,,,50,WR1043ND,Yes,Yes
