Unit ID,ISP,Technology,State,Census,timezone_offset,timezone_offset_dst,Download,Upload,Whitebox Model
447,Verizon,Fiber,PA,Northeast,-5,-4,75,75,wnr3500l-high
566,Comcast,Cable,NH,Northeast,-5,-4,60,5,wnr3500l-high
576,Verizon,Fiber,PA,Northeast,-5,-4,100,100,wnr3500l-high
602,CenturyLink,DSL,CO,West,-7,-6,1.5,0.896,wnr3500l-high
636,Frontier,Fiber,TX,South,-6,-5,75,75,wnr3500l-high
763,Verizon,Fiber,MD,South,-5,-4,100,100,wnr3500l-high
767,Comcast,Cable,CO,West,-7,-6,70,5,wnr3500l-high
782,CenturyLink,DSL,FL,South,-5,-4,10,0.768,wnr3500l-high
786,Optimum,Cable,NY,Northeast,-5,-4,100,35,wnr3500l-high
858,Verizon,Fiber,VA,South,-5,-4,75,75,wnr3500l-high
866,Comcast,Cable,CT,Northeast,-5,-4,60,5,wnr3500l-high
870,Comcast,Cable,CA,West,-8,-7,75,5,wnr3500l-high
1014,Verizon,Fiber,NJ,Northeast,-5,-4,100,100,wnr3500l-high
1026,Frontier,Fiber,CA,West,-8,-7,100,100,wnr3500l-high
1074,CenturyLink,DSL,FL,South,-5,-4,1.5,0.256,wnr3500l-high
1220,Frontier,Fiber,CA,West,-8,-7,50,50,wnr3500l-high
1290,Comcast,Cable,TX,South,-6,-5,60,5,wnr3500l-high
5056,Comcast,Cable,MA,Northeast,-5,-4,60,5,wnr3500l-high
5216,Frontier,Fiber,TX,South,-6,-5,50,50,wnr3500l-high
5299,CenturyLink,DSL,CO,West,-7,-6,12,5,wnr3500l-high
5347,Comcast,Cable,CT,Northeast,-5,-4,60,5,wnr3500l-high
5381,Comcast,Cable,CO,West,-7,-6,75,5,wnr3500l-high
5431,Frontier,Fiber,FL,South,-5,-4,50,50,wnr3500l-high
5440,Comcast,Cable,MD,South,-5,-4,60,5,wnr3500l-high
5518,Comcast,Cable,WA,West,-8,-7,75,5,wnr3500l-high
5521,Verizon,Fiber,MD,South,-5,-4,100,100,wnr3500l-high
5552,Comcast,Cable,CA,West,-8,-7,75,5,wnr3500l-high
5606,Comcast,Cable,MD,South,-5,-4,60,5,wnr3500l-high
5711,Verizon,Fiber,NY,Northeast,-5,-4,75,35,wnr3500l-high
5728,CenturyLink,DSL,WA,West,-8,-7,40,2,wnr3500l-high
5734,Comcast,Cable,CO,West,-7,-6,75,5,wnr3500l-high
5767,Cox,Cable,CA,West,-8,-7,30,3,wnr3500l-high
5774,Comcast,Cable,IL,Midwest,-6,-5,60,5,wnr3500l-high
5831,Mediacom,Cable,IA,Midwest,-6,-5,75,10,wnr3500l-high
5851,CenturyLink,DSL,AZ,West,-7,-7,10,0.768,wnr3500l-high
5859,CenturyLink,DSL,CO,West,-7,-6,12,0.896,wnr3500l-high
5868,Comcast,Cable,VA,South,-5,-4,60,5,wnr3500l-high
5871,Comcast,Cable,CO,West,-7,-6,105,10,wnr3500l-high
5875,Verizon,Fiber,VA,South,-5,-4,100,100,wnr3500l-high
5953,Comcast,Cable,TX,South,-6,-5,105,10,wnr3500l-high
5968,Verizon,Fiber,MA,Northeast,-5,-4,75,75,wnr3500l-high
5985,Verizon,Fiber,VA,South,-5,-4,100,100,wnr3500l-high
6007,Frontier,Fiber,TX,South,-6,-5,50,50,wnr3500l-high
6018,Comcast,Cable,PA,Northeast,-5,-4,60,5,wnr3500l-high
6053,CenturyLink,DSL,OR,West,-8,-7,40,5,wnr3500l-high
6071,Comcast,Cable,GA,South,-5,-4,60,5,wnr3500l-high
6085,Verizon,Fiber,PA,Northeast,-5,-4,100,100,wnr3500l-high
6098,Verizon,Fiber,VA,South,-5,-4,100,100,wnr3500l-high
6099,Comcast,Cable,OR,West,-8,-7,70,5,wnr3500l-high
6106,CenturyLink,DSL,AZ,West,-7,-7,7,0.896,wnr3500l-high
6177,Verizon,Fiber,NJ,Northeast,-5,-4,75,75,wnr3500l-high
6417,CenturyLink,DSL,NM,West,-7,-6,20,0.896,wnr3500l-high
